X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
0.0506,0.0499,f,0,6.98,,0,f,1,6.611,0,0.13134748,1,Stimuli/dory2.png,Stimuli/dory1.png,f,0,1.789,,1,0,0,0,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.13134748,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,f,1,2.205,,1,1,0,1,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.13134748,0,Stimuli/dory1.png,Stimuli/dory1.png,f,1,1.105,space,1,2,0,2,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,3.441,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.13134748,0,Stimuli/dory2.png,Stimuli/dory2.png,j,0,2.08,,1,3,0,3,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.13134748,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,1.207,space,0,4,0,4,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,2.223,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.13134748,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,f,0,3.376,,1,5,0,5,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.13134748,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,2.057,space,0,6,0,6,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,3.756,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.13134748,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,1.271,space,1,7,0,7,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,3.924,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.13134748,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,2.657,space,0,8,0,8,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,3.907,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,-0.13134748,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,1.572,,0,9,0,9,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.13134748,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,f,0,1.824,,1,10,0,10,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.13134748,1,Stimuli/dory1.png,Stimuli/dory2.png,f,0,1.072,space,0,11,0,11,0,1,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,1.921,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.17503552,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,1,1.305,,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.17503552,0,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,,,,f,0,1.573,,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.17503552,0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,,,,j,1,0.842,,2,0,2,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.17503552,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,0.776,,3,0,3,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.17503552,0,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,,,,f,0,1.54,,4,0,4,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.17503552,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,f,1,1.191,,5,0,5,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.17503552,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,f,1,1.465,,6,0,6,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.17503552,0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,,,,j,1,0.605,,7,0,7,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,MB,3,2,2020-11-10_16h06.27.563,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.17503552,0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,,,,f,0,1.155,,8,0,8,0,1
