X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
0.0307,0.032,space,39.05169,j,1,15.515765,,0,,0,0,0.106718943,0,Stimuli/edmd.png,Stimuli/edmd.png,j,0,3.872665,,1,0,0,0,0,1,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.106718943,1,Stimuli/f142.png,Stimuli/eimd.png,,0,,,0,1,0,1,0,1,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.106718943,0,Stimuli/eumu.png,Stimuli/eumu.png,,0,,,1,2,0,2,0,1,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.106718943,1,Stimuli/f142.png,Stimuli/f131.png,j,1,3.48402,,1,3,0,3,0,1,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.106718943,0,Stimuli/f142.png,Stimuli/f142.png,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,1,j,0,1.460935,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.106718943,1,Stimuli/f15.png,Stimuli/eumu.png,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,0,j,1,0.867,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.106718943,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,1,j,0,0.75696,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.106718943,1,Stimuli/eomu.png,Stimuli/eimd.png,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,1,j,1,0.75819,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.106718943,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,j,0,0.970825,,1,0,0,0,0,1,RH,2,3,2020-11-24_15h44.30.118,configural_featural,2020.2.4,Win32,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
