Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,fix_switches,side,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,0,0,0,0,0.05,0.05,0,1,Stimuli/eomu.png,Stimuli/eomu.png,s,1,1.9753609130275436,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,1,0,1,0,,,0,1,Stimuli/eimd.png,Stimuli/eomu.png,s,0,0.5040669860318303,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,2,0,2,0,,,0,0,Stimuli/eomu.png,Stimuli/eimd.png,s,0,0.11333972396096215,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,3,0,3,0,,,0,1,Stimuli/eimd.png,Stimuli/eimd.png,s,1,0.06282866798574105,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,4,0,4,0,,,0,1,Stimuli/eumu.png,Stimuli/eumu.png,s,1,0.5933905380079523,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,5,0,5,0,,,0,1,Stimuli/eomu.png,Stimuli/eumu.png,s,0,0.37084757804404944,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,6,0,6,0,,,0,0,Stimuli/eomu.png,Stimuli/edmd.png,s,0,0.2431756680016406,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,7,0,7,0,,,0,1,Stimuli/edmd.png,Stimuli/eomu.png,s,0,0.28213808103464544,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,8,0,8,0,,,0,0,Stimuli/edmd.png,Stimuli/edmd.png,s,1,0.35612877999665216,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,9,0,9,0,,,0,1,Stimuli/edmd.png,Stimuli/edmd.png,s,1,0.23267330700764433,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,10,0,10,0,,,0,1,Stimuli/eumu.png,Stimuli/eomu.png,s,0,0.36719874996924773,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,11,0,11,0,,,0,0,Stimuli/eumu.png,Stimuli/eumu.png,s,1,0.4265568950213492,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,12,0,12,0,,,0,0,Stimuli/edmd.png,Stimuli/eimd.png,s,0,0.3550475680385716,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,13,0,13,0,,,1,0,Stimuli/eomu.png,Stimuli/eomu.png,s,1,0.3927699110354297,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,14,0,14,0,,,0,1,Stimuli/eimd.png,Stimuli/eimd.png,s,1,0.4048408350208774,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,15,0,15,0,,,0,0,Stimuli/eumu.png,Stimuli/edmd.png,s,0,0.37976155697833747,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,16,0,16,0,,,1,1,Stimuli/eumu.png,Stimuli/eimd.png,s,0,0.32873292604926974,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,17,0,17,0,,,0,0,Stimuli/edmd.png,Stimuli/edmd.png,s,1,0.29358362004859373,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,18,0,18,0,,,0,0,Stimuli/eumu.png,Stimuli/eumu.png,s,1,0.15312963497126475,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,19,0,19,0,,,0,1,Stimuli/eimd.png,Stimuli/edmd.png,s,0,0.2764398519648239,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,20,0,20,0,,,0,0,Stimuli/eimd.png,Stimuli/eimd.png,s,1,0.36060542601626366,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,21,0,21,0,,,0,0,Stimuli/eomu.png,Stimuli/eomu.png,s,1,0.3415024270070717,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,22,0,22,0,,,0,1,Stimuli/edmd.png,Stimuli/eumu.png,s,0,0.23757903097430244,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,23,0,23,0,,,0,0,Stimuli/eimd.png,Stimuli/eumu.png,s,0,0.41818456701003015,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,0,0,0,0,,,0,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,s,1,0.14201831800164655,SR,1,1,2020_Oct_24_2045,configural_featural,2020.2.4,None,
