Block_type,instruction_text,repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_resp.rt,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,0.6753321387805045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,0,0.2398013947531581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,0.8866376006044447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5417781630530953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H-8sim3.png,j,1,None,1,1.9744180119596422,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,f,1,space,1,2.9751828401349485,2.2032884480431676,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim1.png,Stimuli/H-8sim0.png,j,1,None,1,1.133902589790523,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,,,,None,1,f,1,0.8687894358299673,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,,,,,,,None,1,j,1,0.6561087039299309,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1844,configural_featural,2020.2.4,None,[3584 2240],
