repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Block_type,instruction_text,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_fix_resp_fast.rt,prac_resp.rt,prac_fix_resp.rt,prac_resp2.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,0.36606963723897934,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,15.95463694119826,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,0.8616059371270239,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.47873152466490865,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H8sim0.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,0,None,0,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,,None,1,None,0,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,,,,,None,1,None,0,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,None,0,None,0,,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim3.png,Stimuli/H5sim0.png,,,,,space,0,None,0,2.089997217990458,,,,,1,2,2020_Dec_11_1855,configural_featural,2020.2.4,None,[3584 2240],
