repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Block_type,instruction_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,0.5937780449166894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,25.127552657853812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,1.3663016827777028,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.9644899750128388,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,f,1,1.1104669868946075,None,1,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/eimd.png,Stimuli/f15.png,j,1,0.9104485018178821,None,0,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,j,0,2.468028532806784,None,1,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f131.png,Stimuli/eomu.png,j,1,0.9776442763395607,None,1,,,,,,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,,None,1,f,1,0.8517342801205814,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f131.png,Stimuli/f142.png,,,,,,None,1,j,1,0.8382529327645898,,,,,,,,,,1,2,2020_Dec_11_1906,configural_featural,2020.2.4,None,[3584 2240],
