repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Block_type,instruction_text,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,0.004484828095883131,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,0,0.28444699803367257,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,0.5436661401763558,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0,0.3590197190642357,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,f,1,0.6814118479378521,None,1,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/eumu.png,Stimuli/eimd.png,f,0,0.9583898079581559,space,1,1.4098283308558166,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f15.png,Stimuli/f15.png,f,1,0.943703087978065,None,1,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f24.png,Stimuli/f142.png,j,1,1.2980775171890855,space,0,0.7089144322089851,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,None,1,f,1,0.5962877487763762,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f142.png,,,,,,,None,1,j,1,0.6511999960057437,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,,,,,,,space,1,f,1,0.9820883818902075,0.5333103807643056,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eumu.png,Stimuli/edmd.png,,,,,,,None,1,j,1,0.91160798817873,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,j,0,2.257943206001073,None,1,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H8sim0.png,j,1,2.23162182001397,space,1,0.47965081175789237,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,j,0,1.7847901517525315,None,1,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim0.png,f,0,2.060619223397225,None,1,,,,,,,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,,,,None,1,f,1,1.5781153249554336,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H5sim0.png,,,,,,,space,1,None,0,,2.1715114559046924,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,,,,None,1,j,0,1.8108048168942332,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,,,,,,,None,1,f,0,0.9824308478273451,,,1,2,2020_Dec_21_1734,configural_featural,2020.2.4,None,[3584 2240],
