repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,prac_resp.rt,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,0.05,0.05,space,1.623675457201898,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,j,1,0.2882352592423558,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,space,1,1.41651861788705,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,1.300441686064005,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/edmd.png,Stimuli/edmd.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/eimd.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/f131.png,Stimuli/f131.png,None,0,None,0,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eimd.png,Stimuli/f24.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,None,1,None,0,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/edmd.png,Stimuli/f142.png,,,,,None,1,j,1,0.46107645193114877,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
