repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,0.05,0.05,space,0.3764947219751775,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,j,1,0.2611987888813019,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,space,1,0.6782181053422391,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5700000766664743,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f15.png,Stimuli/f15.png,f,1,0.9491875381208956,None,1,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/eumu.png,Stimuli/f142.png,j,1,0.6238477858714759,space,1,1.1263742567971349,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/edmd.png,Stimuli/edmd.png,j,0,1.2053311369381845,None,1,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eumu.png,Stimuli/f131.png,j,1,0.5789916943758726,None,1,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,None,1,f,1,0.3861800907179713,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/f15.png,Stimuli/f24.png,,,,,,,space,1,j,1,0.5293963202275336,0.8773958189412951,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,,,None,1,f,1,0.6087635420262814,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/edmd.png,Stimuli/f142.png,,,,,,,None,1,j,1,0.5501292329281569,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,f,1,0.5186541182920337,None,1,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H-8sim3.png,Stimuli/H6sim0.png,j,1,0.9714504429139197,space,1,1.3227598969824612,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,j,0,0.9832159373909235,None,1,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,j,1,1.0906768571585417,None,1,,,,,,,,,1,2,2020_Dec_21_1812,configural_featural,2020.2.4,None,[3584 2240],
