Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,27.595142939011566,27.799644573009573,27.595142939011566,None,28.064174285973422,None,28.73120589298196,None,j,1,1.0698618369642645,28.73120589298196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19467607792467,31.397862607962452,31.19467607792467,None,31.66455169103574,None,31.8312137699686,None,space,1,1.288045988068916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5803750759223476,31.8312137699686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,41.92702065000776,42.130996022955514,41.92702065000776,None,42.24352226394694,42.447818676009774,42.24352226394694,None,f,1,0.4081936429720372,42.414558494929224,None,None,1,42.414558494929224,None,46.39983244694304,None,46.39983244694304,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,0,Stimuli/dory1.png,Stimuli/dory1.png,48.44242766802199,48.64952027902473,48.44242766802199,None,48.725571210030466,48.932433192036115,48.725571210030466,None,f,1,1.4347872160142288,48.900189894018695,None,None,1,48.900189894018695,None,52.881513034924865,None,52.881513034924865,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,54.92652639001608,55.13127217802685,54.92652639001608,None,55.19882117595989,55.414350374019705,55.19882117595989,None,j,1,1.3570122619858012,55.380576511030085,None,None,1,55.380576511030085,None,59.38112455303781,None,59.38112455303781,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,61.42589250893798,61.631128103937954,61.42589250893798,None,61.74225266301073,61.947995561989956,61.74225266301073,None,f,1,0.2951830819947645,61.91463501402177,None,None,1,61.91463501402177,None,65.881099547958,None,65.881099547958,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12979000000000002,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,67.92355934798252,68.13352501392365,67.92355934798252,None,68.19794475997332,68.39811631897464,68.19794475997332,None,j,1,0.36440277099609375,68.38303557597101,None,None,1,68.38303557597101,None,72.3815532430308,None,72.3815532430308,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.12979000000000002,1,Stimuli/dory2.png,Stimuli/dory1.png,74.39790540398099,74.59820058394689,74.39790540398099,None,74.72891336795874,74.93122826993931,74.72891336795874,None,j,1,0.7098032630747184,74.91622323496267,None,space,1,74.91622323496267,None,78.88127620099112,None,78.88127620099112,None,0.9411150879459456,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.12979000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,80.89805220498238,81.10004811093677,80.89805220498238,None,81.22731123003177,81.43326947896276,81.22731123003177,None,j,1,1.2543209459399804,81.39833383297082,None,space,1,81.39833383297082,None,85.38152276095934,None,85.38152276095934,None,2.0428994990652427,,,,,,,,,,,,,,,,,1,2,2020_Nov_03_1728,configural_featural,2020.2.4,None,
