Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_3.rt,key_resp_5.rt,key_resp_4.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,0.0474,0.046,28.898158451076597,29.108137704082765,28.898158451076597,None,29.35866722499486,None,30.022988062002696,None,j,1,1.0257418230175972,30.022988062002696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.23156598000787,40.441739049041644,40.23156598000787,None,40.68984619609546,None,40.87315895303618,None,space,1,0.9569120840169489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.7381249329773709,40.87315895303618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12304092,1,Stimuli/dory2.png,Stimuli/dory1.png,54.35667240805924,54.55839037708938,54.35667240805924,None,54.68722062406596,54.89119800599292,54.68722062406596,None,j,1,0.9643438089406118,54.856695874012075,None,None,1,54.856695874012075,None,58.87499889708124,None,58.87499889708124,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12304092,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,60.89824433205649,61.108336782082915,60.89824433205649,None,61.20286615600344,61.40867462102324,61.20286615600344,None,None,0,,61.375382469035685,None,None,1,61.375382469035685,None,65.35666932503227,None,65.35666932503227,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12304092,0,Stimuli/dory1.png,Stimuli/dory1.png,67.41508100507781,67.62338754709344,67.41508100507781,None,67.70237977500074,67.90864083508495,67.70237977500074,None,None,0,,67.87352437200025,None,None,1,67.87352437200025,None,71.85661845607683,None,71.85661845607683,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12304092,1,Stimuli/dory1.png,Stimuli/dory2.png,73.88976360601373,74.09004614804871,73.88976360601373,None,74.17513744009193,74.3924904470332,74.17513744009193,None,None,0,,74.3568052740302,None,None,1,74.3568052740302,None,78.35681111400481,None,78.35681111400481,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.12304092,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,80.37521669804119,80.59014468907844,80.37521669804119,None,80.70373330509756,80.90877780306619,80.70373330509756,None,None,0,,80.87349994305987,None,None,0,80.87349994305987,None,84.8749315100722,None,84.8749315100722,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12304092,0,Stimuli/nemo2.png,Stimuli/nemo2.png,86.88750221510418,87.09037904604338,86.88750221510418,None,87.20125973201357,87.40692074701656,87.20125973201357,None,None,0,,87.3735682660481,None,None,1,87.3735682660481,None,91.35863828507718,None,91.35863828507718,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.12304092,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,93.38660181302112,93.59028687700629,93.38660181302112,None,93.67339518701192,93.87377635901794,93.67339518701192,None,None,0,,93.85886925004888,None,None,0,93.85886925004888,None,97.85871881607454,None,97.85871881607454,None,,,,,,,,,,,,,,,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
