Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,0.05,0.05,21.434199541108683,21.636943716090173,21.434199541108683,None,21.9037476349622,None,22.270375224063173,None,j,1,0.6608028651680797,22.270375224063173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.695582882035524,23.90561640704982,23.695582882035524,None,24.153925481950864,None,24.320601522922516,None,space,1,3.3479105830192566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.6689058821648359,24.320601522922516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/dory1.png,Stimuli/dory2.png,35.784567919094115,35.987307148985565,35.784567919094115,None,36.07069317996502,36.2707036100328,36.07069317996502,None,j,1,0.9336201511323452,36.2560252789408,None,None,1,36.2560252789408,None,40.272478718077764,None,40.272478718077764,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,42.28914200188592,42.504114609910175,42.28914200188592,None,42.55400943290442,42.754050876013935,42.55400943290442,None,f,1,1.2444624619092792,42.739779165014625,None,None,1,42.739779165014625,None,46.75412769289687,None,46.75412769289687,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,48.81262176297605,49.02255712589249,48.81262176297605,None,49.05421876395121,49.25618178304285,49.05421876395121,None,j,1,0.6490325848571956,49.23737943707965,53.23924950603396,None,1,49.23737943707965,53.23924950603396,53.254107570042834,None,53.254107570042834,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,55.27055406803265,55.470901811961085,55.27055406803265,None,55.5957490070723,55.806520798942074,55.5957490070723,None,j,1,0.8806414341088384,55.77299980306998,None,None,1,55.77299980306998,None,59.73752120509744,None,59.73752120509744,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/dory2.png,Stimuli/dory2.png,61.755938166053966,61.97093765693717,61.755938166053966,None,62.055546971037984,62.25424688309431,62.055546971037984,None,f,1,0.49305042694322765,62.23957192990929,None,None,1,62.23957192990929,None,66.25431970995851,None,66.25431970995851,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0,Stimuli/nemo2.png,Stimuli/nemo2.png,68.30125980009325,68.50447152392007,68.30125980009325,None,68.58158076298423,68.78762067807838,68.58158076298423,None,f,1,0.669331411132589,68.7542626420036,None,space,1,68.7542626420036,None,72.73763064690866,None,72.73763064690866,None,0.4660071609541774,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0,Stimuli/dory2.png,Stimuli/dory2.png,74.75439164903946,74.95617323811166,74.75439164903946,None,75.05659390799701,75.2543969580438,75.05659390799701,None,f,1,0.6766807311214507,75.23963551199995,None,None,0,75.23963551199995,None,79.27310076192953,None,79.27310076192953,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/dory1.png,Stimuli/dory2.png,81.31267863698304,81.52284721797332,81.31267863698304,None,81.55625940393656,81.77105340897106,81.55625940393656,None,None,0,,81.73772269091569,None,None,1,81.73772269091569,None,85.73729429999366,None,85.73729429999366,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0,Stimuli/dory1.png,Stimuli/dory1.png,87.78468314092606,87.98783533088863,87.78468314092606,None,88.08471740898676,88.28778952197172,88.08471740898676,None,f,1,0.7571357090491802,88.25451791309752,None,None,0,88.25451791309752,None,92.256225889083,None,92.256225889083,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/nemo2.png,Stimuli/nemo2.png,94.30145087093115,94.50599464098923,94.30145087093115,None,94.59782567806542,94.80446996400133,94.59782567806542,None,f,1,0.6712545119225979,94.7709950930439,None,None,1,94.7709950930439,None,98.73723282804713,None,98.73723282804713,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,100.75394460489042,100.95642931200564,100.75394460489042,None,101.08386330492795,101.28976643108763,101.08386330492795,None,j,1,0.9238899368792772,101.25412827008404,None,None,1,101.25412827008404,None,105.23806465999223,None,105.23806465999223,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/dory2.png,Stimuli/dory1.png,107.25464940210804,107.45532662095502,107.25464940210804,None,107.57898437906988,107.78865083889104,107.57898437906988,None,j,1,0.9504357129335403,107.75587820797227,None,None,1,107.75587820797227,None,111.73743845405988,None,111.73743845405988,None,,,,,,,,,,,,,,,,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,0.5002627160865813,None,118.98827395401895,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,f,0,0.24599079391919076,None,120.22136217588559,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eimd.png,Stimuli/edmd.png,None,None,None,j,1,0.17467659898102283,None,121.18816303508356,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,j,0,0.189646267099306,None,122.10691357101314,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,j,1,0.18043210706673563,None,123.03808255703188,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,j,0,0.32077878597192466,None,123.95479732006788,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,j,1,0.16225038492120802,None,125.02150682592764,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,j,0,0.23803381295874715,None,125.9074321470689,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0.0,Stimuli/eomu.png,Stimuli/edmd.png,None,None,None,j,1,0.19995807181112468,None,126.8881658280734,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,j,0,1.029074916150421,space,127.82146655605175,None,0.5916213521268219,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0.0,Stimuli/eomu.png,Stimuli/edmd.png,None,None,None,j,1,2.049422435928136,space,129.5713652020786,None,1.5730496200267226,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,j,0,1.1289487599860877,space,132.35483146295883,None,0.6611911279615015,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,j,0,1.6448829311411828,None,134.20486910198815,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0.0,Stimuli/edmd.png,Stimuli/eimd.png,None,None,None,j,1,0.449797464068979,None,136.58822838705964,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0.0,Stimuli/eumu.png,Stimuli/eimd.png,None,None,None,j,1,0.44325924408622086,None,137.77393403090537,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,j,0,0.31693412992171943,None,138.93833194696344,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,j,0,0.40890328818932176,None,140.00497489003465,None,,,1,2,2020_Nov_16_1149,configural_featural,2020.2.4,None,[3584 2240],
