pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,0.05,0.05,23.870486330939457,24.370450070826337,23.870486330939457,None,24.6371766529046,25.138451551785693,25.353979468811303,None,j,1,0.9582361159846187,25.353979468811303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,30.73701688181609,31.239007515832782,30.73701688181609,None,31.522052119951695,32.02064206288196,32.05369715578854,None,space,1,1.2990924138575792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.9056070339865983,32.05369715578854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/f142.png,Stimuli/f142.png,43.98894165479578,44.487370817922056,43.98894165479578,None,44.80562107497826,45.303783715935424,44.80562107497826,None,f,1,1.4872691640630364,44.987125989980996,None,None,1,44.987125989980996,None,49.005685350857675,None,49.005685350857675,None,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/f15.png,Stimuli/eimd.png,51.00564187183045,51.50393681996502,51.00564187183045,None,51.786646694876254,52.287090237950906,51.786646694876254,None,j,1,1.0610562700312585,51.972104960819706,None,None,1,51.972104960819706,None,55.98736939299852,None,55.98736939299852,None,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/eumu.png,Stimuli/eumu.png,57.98916295496747,58.48724431078881,57.98916295496747,None,58.789222278865054,59.28729376499541,58.789222278865054,None,f,1,0.8639141980092973,58.97087567392737,None,None,1,58.97087567392737,None,62.9710105098784,None,62.9710105098784,None,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/f15.png,Stimuli/f142.png,,,,,,,,,,,,,,,,,,69.68729779892601,None,69.68729779892601,None,64.98900450998917,65.20374480797909,64.98900450998917,None,65.4887670809403,65.68724886188284,65.4887670809403,None,None,1,65.67225755099207,None,j,1,1.9250510488636792,65.67225755099207,None,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,,,,,,,,,,,,,76.4056868928019,None,76.4056868928019,None,71.68678791890852,71.88946719397791,71.68678791890852,None,72.18932267278433,72.40425845887512,72.18932267278433,None,None,0,72.37107140594162,76.37268838798627,f,1,1.0439415299333632,72.37107140594162,76.37268838798627,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/edmd.png,Stimuli/eomu.png,,,,,,,,,,,,,,,,,,83.0707146669738,None,83.0707146669738,None,78.38733075279742,78.58716183085926,78.38733075279742,None,78.90523908985779,79.10383706586435,78.90523908985779,None,None,1,79.08938487386331,None,j,1,0.6701837151776999,79.08938487386331,None,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,85.07080454193056,85.57055631489493,85.07080454193056,None,85.87102452898398,86.37118020700291,85.87102452898398,None,f,1,1.0954972200561315,86.05604374082759,90.05437248479575,None,1,86.05604374082759,90.05437248479575,90.0708173608873,None,90.0708173608873,None,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_18_2044,configural_featural,2020.2.4,None,[3584 2240],
