pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,text_13.started,text_13.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_10.started,image_10.stopped,image_11.started,image_11.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,text_12.started,text_12.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_resp.rt,transition.started,transition.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,0.0461,0.0472,54.05535939801484,None,space,3.2207823661156,55.040671973023564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,58.28876638202928,61.290592778939754,61.77214225707576,None,74.50564910611138,75.00565355503932,74.50564910611138,None,75.28895264607854,75.78899890114553,76.00567356008105,None,j,1,4.409872221993282,76.00567356008105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.42207215214148,87.92219707299955,87.42207215214148,None,88.20805244613439,None,88.7390523350332,None,space,1,4.652091864962131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,3.414754278026521,88.7390523350332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.19095373596065,None,0,0.15946912000000002,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,105.17205894715153,105.67224881192669,105.17205894715153,None,105.97232462000102,106.47415229398757,105.97232462000102,None,None,0,106.1574610110838,None,None,1,106.1574610110838,None,110.18919438496232,None,110.18919438496232,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15946912000000002,1,Stimuli/H5sim0.png,Stimuli/H6sim0.png,112.17251052404754,112.6725329500623,112.17251052404754,None,112.97253575595096,113.47251737909392,112.97253575595096,None,j,1,113.16076778108254,None,None,1,113.16076778108254,None,117.17177125602029,None,117.17177125602029,None,1.1162669910117984,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15946912000000002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,119.17254163208418,119.67266261600889,119.17254163208418,None,119.9725598921068,120.47256142203696,119.9725598921068,None,f,1,120.15787756000645,124.15595303103328,None,1,120.15787756000645,124.15595303103328,124.17246060492471,None,124.17246060492471,None,0.7914206378627568,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15946912000000002,1,Stimuli/H5sim0.png,Stimuli/H-8sim3.png,,,,,,,,,,,,,,,,,132.8727293300908,None,132.8727293300908,None,,126.1726071049925,None,128.17249946598895,128.3725011339411,128.17249946598895,None,128.6725535299629,128.87480309512466,128.6725535299629,None,None,1,128.8558414389845,132.8559776530601,f,0,0.8300620929803699,128.8558414389845,132.8559776530601,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.15946912000000002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,,,,,,,,,,,,,,139.59114086907357,None,139.59114086907357,None,,,,134.87184184999205,135.07274611014873,134.87184184999205,None,135.37216631509364,135.57253109896556,135.37216631509364,None,None,0,135.5581172099337,None,j,0,0.872307115001604,135.5581172099337,None,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15946912000000002,1,Stimuli/H-8sim3.png,Stimuli/H6sim0.png,,,,,,,,,,,,,,,,,146.27188197802752,None,146.27188197802752,None,,,,141.57277737697586,141.7726351621095,141.57277737697586,None,142.07275163405575,142.2727898301091,142.07275163405575,None,None,1,142.25794089608826,146.25613493705168,f,0,0.7061727750115097,142.25794089608826,146.25613493705168,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.272586182924,None,0,-0.15946912000000002,0,Stimuli/f15.png,Stimuli/f15.png,150.28952353005297,150.79130382998846,150.28952353005297,None,151.09195333509706,151.60606071003713,151.09195333509706,None,f,1,151.27286105998792,None,None,1,151.27286105998792,None,155.27263212995604,None,155.27263212995604,None,1.341853410936892,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.15946912000000002,1,Stimuli/eomu.png,Stimuli/eimd.png,157.28959249705076,157.78950376994908,157.28959249705076,None,158.0904568640981,158.58960246900097,158.0904568640981,None,f,0,158.27460201410577,None,None,1,158.27460201410577,None,162.29149032314308,None,162.29149032314308,None,0.8793734270147979,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.15946912000000002,0,Stimuli/eomu.png,Stimuli/eomu.png,164.2914994461462,164.80642752209678,164.2914994461462,None,165.0922542719636,165.58965431712568,165.0922542719636,None,f,1,165.27293899608776,None,space,1,165.27293899608776,None,169.2721641571261,None,169.2721641571261,None,1.4600366968661547,,,,,,,,,,,,,,,,,,,,0.8058202199172229,,1,2,2020_Nov_19_1811,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.15946912000000002,1,Stimuli/f24.png,Stimuli/eimd.png,,,,,,,,,,,,,,,,,,,,,,171.27300961711444,None,173.2896917569451,173.4915932661388,173.2896917569451,None,173.7724135480821,173.97248722799122,173.7724135480821,None,None,1,173.9580464020837,None,j,1,0.840312710031867,173.9580464020837,None,,,,,,,,,,
