pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Block_type,instruction_text,X Scale,Y Scale,text_13.started,text_13.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_10.started,image_10.stopped,image_11.started,image_11.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,text_12.started,text_12.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,transition.started,transition.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.rt,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,0.0474,0.0472,31.096767131006345,None,space,1.8286366248503327,32.081940406002104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,33.92984653892927,38.93006451590918,39.41347356978804,None,60.49641176383011,60.99733343790285,60.49641176383011,None,61.28208333882503,None,61.980178996920586,None,j,1,0.9087752788327634,61.980178996920586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.85776656283997,66.36333711189218,65.85776656283997,None,66.63037107489072,None,67.14703961694613,None,space,1,4.0516417941544205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,2.9920347910374403,67.14703961694613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.53219532291405,None,0,-0.16396608,0,Stimuli/eumu.png,Stimuli/eumu.png,83.5304659397807,84.03037709579803,83.5304659397807,None,84.3489431948401,84.84713325486518,84.3489431948401,None,f,1,0.9001082840841264,84.5305544338189,None,None,1,84.5305544338189,None,88.53300864296034,None,88.53300864296034,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1,Stimuli/eumu.png,Stimuli/eomu.png,90.53212894080207,91.04716627392918,90.53212894080207,None,91.33228726196103,91.84719598689117,91.33228726196103,None,j,1,0.6582736698910594,91.51360150496475,None,None,1,91.51360150496475,None,95.51387621299364,None,95.51387621299364,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0,Stimuli/f24.png,Stimuli/f24.png,97.53228743583895,98.04720515781082,97.53228743583895,None,98.3322241208516,98.84725656197406,98.3322241208516,None,f,1,1.7556769528891891,98.51386716286652,102.5152856009081,space,0,98.51386716286652,102.5152856009081,102.54665450798348,None,102.54665450798348,None,3.156845436897129,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1,Stimuli/eomu.png,Stimuli/f24.png,104.53226114995778,105.04698450583965,104.53226114995778,None,105.34833810687996,105.86390193598345,105.34833810687996,None,j,1,1.0080019729211926,105.53296994883567,None,None,1,105.53296994883567,None,109.51324457488954,None,109.51324457488954,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.16396608,0,Stimuli/eimd.png,Stimuli/eimd.png,,,,,,,,,,,,,,,,,,119.23256113892421,None,119.23256113892421,None,,111.51399884885177,None,114.5323335248977,114.73073023883626,114.5323335248977,None,115.01307181990705,115.2161440118216,115.01307181990705,None,space,1,2.224065996007994,115.1973417608533,119.19946555397473,f,1,0.6983153738547117,115.1973417608533,119.19946555397473,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1,Stimuli/f142.png,Stimuli/f24.png,,,,,,,,,,,,,,,,,,125.91396606597118,None,125.91396606597118,None,,,,121.23238390381448,121.43078287295066,121.23238390381448,None,121.7133598618675,121.9140857658349,121.7133598618675,None,None,1,,121.9140857658349,None,j,1,1.0562991900369525,121.9140857658349,None,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.16396608,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,,,,,,,,,,,,,132.63266717991792,None,132.63266717991792,None,,,,127.93079595593736,128.13084857095964,127.93079595593736,None,128.4325870408211,128.63078017579392,128.4325870408211,None,space,1,1.8963657119311392,128.61649111891165,None,f,1,1.7075367961078882,128.61649111891165,None,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,1,Stimuli/eumu.png,Stimuli/f142.png,,,,,,,,,,,,,,,,,,139.3136952049099,None,139.3136952049099,None,,,,134.63257541391067,134.8474169888068,134.63257541391067,None,135.13263508398086,135.34730771486647,135.13263508398086,None,None,1,,135.3142392388545,None,j,1,0.7200138228945434,135.3142392388545,None,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.31537580001168,None,0,0.16396608,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,143.3142317919992,143.81604368495755,143.3142317919992,None,144.1141848859843,144.61435376200825,144.1141848859843,None,f,1,1.7901566110085696,144.2996851229109,148.29746946296655,None,1,144.2996851229109,148.29746946296655,148.3142530620098,None,148.3142530620098,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.16396608,1,Stimuli/H-8sim2.png,Stimuli/H7sim0.png,150.31424946081825,150.81430907687172,150.31424946081825,None,151.11432907381095,151.6162763889879,151.11432907381095,None,j,1,1.1888094830792397,151.29963312693872,155.29770335694775,None,0,151.29963312693872,155.29770335694775,155.31379152694717,None,155.31379152694717,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,157.31436368497089,157.81597273796797,157.31436368497089,None,158.11418239283375,158.61432098783553,158.11418239283375,None,f,1,0.666512313997373,158.29988414701074,162.2977450529579,None,1,158.29988414701074,162.2977450529579,162.31440641987137,None,162.31440641987137,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1908,configural_featural,2020.2.4,None,[3584 2240],
