pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,text_13.started,text_13.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_10.started,image_10.stopped,image_11.started,image_11.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,text_12.started,text_12.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,transition.started,transition.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,0.05,0.05,24.8040616188664,None,space,1.8163889839779586,25.787228194996715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,27.62023030105047,32.62270544003695,33.103968526935205,None,42.472826385870576,42.9708503279835,42.472826385870576,None,43.25678849592805,None,43.97073603188619,None,j,1,1.9735680678859353,43.97073603188619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.20380441099405,47.705977509962395,47.20380441099405,None,47.98765094182454,48.489392700837925,48.52076815604232,None,space,1,2.4910969079937786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,1.8140174250584096,48.52076815604232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.971090191975236,None,0,-0.17296,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,60.954134420026094,61.45637136884034,60.954134420026094,None,61.75430809799582,62.254404495004565,61.75430809799582,None,f,1,0.6523753239307553,61.93944325391203,65.93783807498403,None,1,61.93944325391203,65.93783807498403,65.97363772802055,None,65.97363772802055,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H7sim0.png,Stimuli/H-8sim1.png,67.95384460897185,68.45427253399976,67.95384460897185,None,68.75438745087013,69.25422846502624,68.75438745087013,None,j,1,0.9100998400244862,68.93773599597625,72.93776909890585,None,1,68.93773599597625,72.93776909890585,72.95441547199152,None,72.95441547199152,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,74.95448169484735,75.45631842990406,74.95448169484735,None,75.75446609896608,76.25453954702243,75.75446609896608,None,j,0,0.8894926549401134,75.93956548185088,None,None,1,75.93956548185088,None,79.97119575785473,None,79.97119575785473,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,1,Stimuli/H5sim0.png,Stimuli/H-8sim1.png,81.95448194583878,82.45458348002285,81.95448194583878,None,82.75430232286453,83.25454819691367,82.75430232286453,None,j,1,0.6040710909292102,82.93982454389334,None,space,1,82.93982454389334,None,86.97273262985982,None,86.97273262985982,None,1.0866177380084991,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,,,,,,,,,,,,,,,96.6537820410449,None,96.6537820410449,None,,88.97106128698215,None,91.95445775892586,92.15463113295846,91.95445775892586,None,92.45468432293274,92.65679718088359,92.45468432293274,None,None,1,92.63795174891129,96.63784240186214,j,0,1.0032836799509823,92.63795174891129,96.63784240186214,,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,1,Stimuli/H5sim0.png,Stimuli/H6sim0.png,,,,,,,,,,,,,,,,,,103.35455354489386,None,103.35455354489386,None,,,,98.65455841692165,98.8566377919633,98.65455841692165,None,99.15448275394738,99.35466551501304,99.15448275394738,None,space,1,99.34004682581872,103.33813933003694,j,1,0.6638009310699999,99.34004682581872,103.33813933003694,1.4854305158369243,,1,2,2020_Nov_19_1920,configural_featural,2020.2.4,None,[3584 2240],
