Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,2.694874587934464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.8202308488544077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,1.2409652799833566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.9539504221174866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,f,1,0.6723883780650795,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,j,1,0.9837988500948995,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,f,1,0.5954364868812263,space,1,1.0401164528448135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/H-8sim1.png,Stimuli/H5sim0.png,j,1,0.9940236688125879,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,,,,None,1,f,1,0.3161876332014799,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/H-8sim3.png,Stimuli/H6sim0.png,,,,,,,None,0,j,1,0.8147560320794582,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
