Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,7.302248066058382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.8932075910270214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,2.490404178854078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,1.4183150199241936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,f,1,1.1042564031668007,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H5sim0.png,Stimuli/H6sim0.png,j,1,0.8269569841213524,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,j,0,0.8153740051202476,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H7sim0.png,Stimuli/H-8sim1.png,j,1,0.7079942480195314,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,,,None,1,f,1,0.6379094989970326,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H7sim0.png,Stimuli/H-8sim2.png,,,,,,None,1,j,1,0.576207160949707,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,,,space,1,f,1,0.7300798618234694,1.1404759059660137,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,,,,,,None,1,j,1,0.756982094142586,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,0.8328139970544726,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/eomu.png,Stimuli/f15.png,j,1,0.7652311029378325,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/eumu.png,Stimuli/eumu.png,f,1,0.46507521998137236,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/eomu.png,Stimuli/f131.png,j,1,0.8777096169069409,None,1,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/eimd.png,Stimuli/eimd.png,,,,,,None,1,f,1,0.3604021097999066,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/eumu.png,Stimuli/eomu.png,,,,,,space,1,j,1,1.3226118357852101,1.6484366049990058,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,None,1,f,1,0.4137327950447798,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/f142.png,Stimuli/edmd.png,,,,,,None,1,j,1,0.47282263496890664,,,,,,,,,,,,,,,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eomu.png,Stimuli/eumu.png,f,0,0.17896736995317042,184.50922297895886,None,None,184.50922297895886,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eumu.png,Stimuli/eumu.png,f,1,0.4281920560169965,187.04260248690844,None,None,187.04260248690844,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0.0,Stimuli/eumu.png,Stimuli/eomu.png,j,1,0.344961421797052,189.5922690979205,None,space,189.5922690979205,None,0.6926109178457409,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eomu.png,Stimuli/eomu.png,f,1,0.5080107040703297,192.4259918287862,None,None,192.4259918287862,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eimd.png,Stimuli/eomu.png,j,1,0.6210549350362271,195.44269938091747,None,None,195.44269938091747,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eimd.png,Stimuli/eimd.png,f,1,0.5846970230340958,198.15907665598206,None,None,198.15907665598206,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eimd.png,Stimuli/eumu.png,f,0,0.4056779099628329,200.70931137283333,None,None,200.70931137283333,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,0.2244434989988804,203.1593123949133,None,None,203.1593123949133,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
