Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,0.46710566408000886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5824282008688897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,0.6523274979554117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.38177544088102877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/f142.png,Stimuli/f142.png,f,1,0.6302088720258325,None,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eimd.png,Stimuli/eumu.png,f,0,0.5589256819803268,None,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,0.7034871049690992,space,1,1.0138157051987946,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f24.png,j,1,0.8708488780539483,None,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,,,None,1,f,1,0.4857803469058126,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f131.png,Stimuli/f15.png,,,,,,,None,1,j,1,0.802531577879563,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
