Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,space,0.8116952439304441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5367095258552581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1,1.0680197628680617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0,0.9840326569974422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/edmd.png,Stimuli/f15.png,None,0,None,0,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/edmd.png,Stimuli/edmd.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/f24.png,Stimuli/f15.png,None,0,None,1,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f24.png,Stimuli/f24.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eimd.png,Stimuli/eumu.png,,,,,None,1,None,0,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2154,configural_featural,2020.2.4,None,[3584 2240],
