Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,image_3.started,image_3.stopped,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_5.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,0,0,0,0,,,,,,,,,0.05,0.05,20.55273744300939,20.754537789034657,20.736177073034924,None,21.09451759903459,21.305220116046257,21.269667571003083,None,None,0,21.269667571003083,None,j,1,0.6732958779903129,21.269667571003083,None,21.968958976038266,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,22.98620262602344,23.186348778021056,23.172205582028255,None,23.50313643802656,23.705463392019738,23.686467909021303,None,None,0,23.686467909021303,None,j,0,1.8627052550436929,23.686467909021303,None,25.5686437060358,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,26.62999797204975,26.836407131049782,26.80312745604897,None,27.144512950035278,27.354912773997057,27.322436863032635,None,None,0,27.322436863032635,None,j,0,0.5414362630108371,27.322436863032635,None,27.886108795995824,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,28.93989691999741,29.153207148017827,29.119759204040747,None,29.419926984002814,29.61973747704178,29.603061177011114,None,None,0,29.603061177011114,None,f,0,0.5647044379729778,29.603061177011114,None,30.186213678040076,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,31.20490781404078,31.42162548500346,31.38656605000142,None,31.746715806017164,31.9555819540401,31.903235224017408,None,None,0,31.903235224017408,None,j,1,0.5962862019659951,31.903235224017408,None,32.51952180603985,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,33.579847484012134,33.78647920303047,33.75312364700949,None,34.05492340604542,34.27163622103399,34.23669847700512,None,None,0,34.23669847700512,None,f,0,0.34592013800283894,34.23669847700512,None,34.60288536403095,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,35.62160621501971,35.83650288701756,35.80320719501469,None,36.10267789999489,36.30334845103789,36.30334845103789,None,None,0,36.30334845103789,None,f,1,0.2900566449970938,36.30334845103789,None,36.61984964000294,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,7,0,7,0,,,,,,,,,,,37.66765260801185,37.86986557400087,37.85568043199601,None,38.19015386502724,38.40502621099586,38.36999555001967,None,None,0,38.36999555001967,None,j,0,0.5309336780337617,38.36999555001967,None,38.919415532029234,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,f,0,0.25272851798217744,None,43.436748946027365,None,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eomu.png,Stimuli/eimd.png,None,None,None,f,1,0.31408493500202894,None,44.420008292014245,None,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,j,0,0.08528436999768019,None,45.47194826300256,None,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,f,1,0.008804661047179252,None,46.286609663045965,None,,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,space,j,1,0.4200672219740227,None,47.01992863602936,None,0.15133303200127557,,1,2,2020_Oct_28_0133,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,,,,,,,,,,,,,,,
