Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,26.781613194034435,26.984901817981154,26.781613194034435,None,27.251589372055605,None,27.91819174797274,None,j,1,1.4675141489133239,27.91819174797274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.395492493058555,37.60159879899584,37.395492493058555,None,37.868208533967845,None,38.03490472701378,None,space,1,2.4283125520450994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,2.0458813830045983,38.03490472701378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,46.00353485206142,46.21811648004223,46.00353485206142,None,46.30337929807138,46.50179426104296,46.30337929807138,None,f,1,0.8242509089177474,46.48710280505475,None,None,1,46.48710280505475,None,50.503494506003335,None,50.503494506003335,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory2.png,Stimuli/dory1.png,52.50344978598878,52.701759956078604,52.50344978598878,None,52.83238564396743,53.03710599406622,52.83238564396743,None,j,1,1.1555172259686515,53.00397215306293,None,None,1,53.00397215306293,None,56.9852095519891,None,56.9852095519891,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,59.030960104078986,59.235092942020856,59.030960104078986,None,59.30360427999403,59.51845763705205,59.30360427999403,None,j,1,0.7401416300563142,59.48510845401324,None,None,1,59.48510845401324,None,63.485218603978865,None,63.485218603978865,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,65.53204359707888,65.73531205102336,65.53204359707888,None,65.81015185604338,66.01855275104754,65.81015185604338,None,j,1,0.48325076198671013,65.98515195399523,None,None,1,65.98515195399523,None,69.98514545499347,None,69.98514545499347,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,72.00180965801701,72.20191766205244,72.00180965801701,None,72.33226481999736,72.53693907207344,72.33226481999736,None,j,1,1.012345396913588,72.50382151303347,None,space,1,72.50382151303347,None,76.48506535997149,None,76.48506535997149,None,1.30136342800688,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/dory1.png,Stimuli/dory1.png,78.53258459502831,78.73525791801512,78.53258459502831,None,78.8276399159804,79.03747516707517,78.8276399159804,None,f,1,0.7642744650365785,79.00401319202501,None,None,1,79.00401319202501,None,82.9852504900191,None,82.9852504900191,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,85.03225316805765,85.23530487099197,85.03225316805765,None,85.30378749698866,85.5187426180346,85.30378749698866,None,j,1,1.3629181559663266,85.48540373099968,None,None,1,85.48540373099968,None,89.48549539397936,None,89.48549539397936,None,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_0010,configural_featural,2020.2.4,None,
