Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,28.851310580968857,29.053848985000513,28.851310580968857,None,29.322585616027936,None,29.990130558027886,None,j,1,1.3056209250353277,29.990130558027886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.668141653062776,32.870710561051965,32.668141653062776,None,33.13948794605676,None,33.321015174966305,None,space,1,1.2348123949486762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.8622364619513974,33.321015174966305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,47.701531677972525,47.90588357602246,47.701531677972525,None,47.97263313806616,48.18896898406092,47.97263313806616,None,j,1,1.5308988320175558,48.1542025890667,52.15611299406737,None,1,48.1542025890667,52.15611299406737,52.189539122977294,None,52.189539122977294,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,54.20166636502836,54.40637354401406,54.20166636502836,None,54.472790020052344,54.68974540801719,54.472790020052344,None,j,1,1.4175742169609293,54.65453591104597,58.656529283034615,None,1,54.65453591104597,58.656529283034615,58.67100662004668,None,58.67100662004668,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17295000000000002,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,60.705976956058294,60.90448449703399,60.705976956058294,None,60.97110356600024,61.1735514519969,60.97110356600024,None,f,1,0.9647864439757541,61.154597332002595,None,space,1,61.154597332002595,None,65.1543831700692,None,65.1543831700692,None,1.2477729249512777,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,67.21251152898185,67.42130934004672,67.21251152898185,None,67.50177031103522,67.70670063002035,67.50177031103522,None,f,1,2.8007754950085655,67.67121973400936,None,None,1,67.67121973400936,None,71.65426028403454,None,71.65426028403454,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,73.69834661204368,73.90451367397327,73.69834661204368,None,73.98730052099563,74.18988175306004,73.98730052099563,None,j,1,2.0284639900783077,74.17102225101553,None,None,1,74.17102225101553,None,78.15458430000581,None,78.15458430000581,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1,Stimuli/dory2.png,Stimuli/dory1.png,80.1713850320084,80.37373074097559,80.1713850320084,None,80.51303099107463,80.72331568505615,80.51303099107463,None,j,1,1.265984746045433,80.69072352105286,None,None,1,80.69072352105286,None,84.65465943398885,None,84.65465943398885,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17295000000000002,0,Stimuli/dory1.png,Stimuli/dory1.png,86.70123623497784,86.90651098301169,86.70123623497784,None,87.00151356402785,87.20476684905589,87.00151356402785,None,f,1,1.0358459249837324,87.17144941200968,None,space,1,87.17144941200968,None,91.17074274807237,None,91.17074274807237,None,1.3167049740441144,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1748,configural_featural,2020.2.4,None,
