Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,instructions_image.started,instructions_image.stopped,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,0,0,0,0,0.05,0.05,13.055176472000312,None,0,0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,f,0,0.2754613660508767,None,20.324975033989176,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,1,0,1,0,,,,,0,-0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,0,0.26101094897603616,None,21.343749213963747,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,2,0,2,0,,,,,0,0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,j,0,0.35006557003362104,None,22.32738531997893,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,3,0,3,0,,,,,0,-0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,f,0,0.5858623509993777,None,23.424773730977904,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,4,0,4,0,,,,,0,0.17295000000000002,0.0,Stimuli/eomu.png,Stimuli/eumu.png,None,None,None,f,1,0.41767327301204205,None,24.743983085965738,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,5,0,5,0,,,,,0,-0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eimd.png,None,None,None,j,0,0.17729954497190192,None,25.90815994795412,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,6,0,6,0,,,,,0,0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,f,1,0.03561795799760148,None,26.808189074974507,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,7,0,7,0,,,,,0,-0.17295000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,f,0,0.23874770500697196,None,27.574947558983695,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,8,0,8,0,,,,,1,0.17295000000000002,0.0,Stimuli/eomu.png,Stimuli/edmd.png,None,None,None,j,0,0.6600586869753897,space,28.54407344397623,None,0.05116671300493181,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,9,0,9,0,,,,,0,-0.17295000000000002,0.0,Stimuli/eimd.png,Stimuli/eomu.png,None,None,None,f,1,0.1096706289681606,None,29.927418051986024,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,0,0,0,0,10,0,10,0,,,,,1,-0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,j,1,0.00945166201563552,None,30.758108906971756,None,,code,1,2,2020_Oct_25_2108,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,,,,,,,,,,,,,,,
