X Scale,Y Scale,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,key_resp_6.rt
0.05,0.05,0,0.17295,0,Stimuli/eimd.png,Stimuli/eumu.png,,,,j,0,3.225,,0,0,0,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,1,2.538,,1,0,1,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,1,1.389,,2,0,2,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eomu.png,Stimuli/edmd.png,,,,j,0,1.461,,3,0,3,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,0,1.768,,4,0,4,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eomu.png,Stimuli/eumu.png,,,,f,1,0.826,,5,0,5,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eimd.png,Stimuli/edmd.png,,,,j,0,1.757,,6,0,6,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,0,2.159,,7,0,7,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,0,2.011,,8,0,8,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eimd.png,Stimuli/eumu.png,,,,j,0,1.773,,9,0,9,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,0,1.57,,10,0,10,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eomu.png,Stimuli/edmd.png,,,,j,0,1.55,,11,0,11,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,0,1.188,,12,0,12,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,0.17295,0,Stimuli/eimd.png,Stimuli/edmd.png,,,,f,1,1.169,,13,0,13,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,1,1.019,,14,0,14,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eomu.png,Stimuli/eumu.png,,,,j,0,1.8,,15,0,15,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,1,1.338,,16,0,16,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/edmd.png,Stimuli/eumu.png,,,,f,1,1.402,,17,0,17,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,0,1.035,,18,0,18,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eimd.png,Stimuli/eomu.png,,,,j,0,1.355,,19,0,19,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,0,1.971,,20,0,20,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,1,1.571,,21,0,21,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eomu.png,Stimuli/eimd.png,,,,f,1,2.184,,22,0,22,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eumu.png,Stimuli/eimd.png,,,,j,0,2.624,,23,0,23,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eumu.png,Stimuli/eomu.png,,,,j,0,1.522,,24,0,24,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,0,0.738,,25,0,25,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eimd.png,Stimuli/eomu.png,,,,f,1,1.525,,26,0,26,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,f,1,1.041,,27,0,27,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,1,1.686,,28,0,28,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,1,1.557,,29,0,29,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,1,0.941,,30,0,30,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,0,1.284,,31,0,31,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,1,0.907,,32,0,32,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
